dataset,it,size,implementation,pearson,cut,ymin,lower,middle,upper,ymax
1M_gz,1,990830,jl,0.633678560988791,24,2.449929148440333e-12,0.32234475715244565,0.8911367924868963,1.4780761353376006,1.999999999966779
1M_gz,1,990830,jl,0.633678560988791,25,2.174371793728369e-12,0.32640069037805586,0.9025446522293912,1.505404006531759,1.9999999999999263
1M_gz,1,990830,jl,0.633678560988791,26,1.213207312389386e-11,0.3300385040373064,0.9097157172529668,1.5351677548605065,1.9999999999958749
1M_gz,1,990830,jl,0.633678560988791,27,6.480371794737039e-13,0.33536515314404525,0.927401633265804,1.5670829888056246,1.9999999999891664
1M_gz,1,990830,jl,0.633678560988791,28,1.5000445330315415e-11,0.33943969092086757,0.9414877051760101,1.5991545967893521,1.999999999997246
1M_gz,1,990830,jl,0.633678560988791,29,2.62456723021387e-13,0.3405501932629662,0.958594329585812,1.627427917964607,1.9999999999484255
1M_gz,1,990830,jl,0.633678560988791,30,1.3749001936957939e-11,0.34617565098955205,0.9844956357692549,1.6565513093834732,1.9999999999887108
1M_gz,1,990830,jl,0.633678560988791,31,4.0564218650729345e-12,0.3594013188811066,1.0218923529430737,1.6851095855025078,1.9999999999998186
1M_gz,1,990830,jl,0.633678560988791,32,6.786571304928657e-12,0.38087460861122974,1.0730455477095242,1.71650214840975,1.999999999939432
1M_gz,1,990830,jl,0.633678560988791,33,1.9206858326015208e-14,0.4156081551296873,1.1344733056553955,1.7478806496644745,1.9999999999667637
1M_gz,1,990830,jl,0.633678560988791,34,1.2796863568809158e-10,0.4675002492960877,1.2009118190981827,1.7758056202065748,1.999999999999629
1M_gz,1,990830,jl,0.633678560988791,35,9.354628183189106e-12,0.535843608960446,1.284240415185205,1.8084503484722594,1.9999999999966795
1M_gz,1,990830,jl,0.633678560988791,36,2.697757572889259e-10,0.6137190799456873,1.3641207008296896,1.8365759403377542,1.9999999999976177
1M_gz,1,990830,jl,0.633678560988791,37,1.837630048129313e-11,0.7053206088075529,1.4396479693338096,1.8612577517128575,1.999999999993869
1M_gz,1,990830,jl,0.633678560988791,38,2.121062214754943e-10,0.8102714963812607,1.5100394915995736,1.8846965468496402,1.9999999999993459
1M_gz,1,990830,jl,0.633678560988791,39,9.706990766744639e-11,0.9034644692598883,1.5743727384410522,1.904300300882529,1.9999999999820028
1M_gz,1,990830,jl,0.633678560988791,40,4.4145187505506556e-10,0.9778624349615915,1.6367889465433445,1.9193728008063742,1.9999999999994436
1M_gz,1,990830,jl,0.633678560988791,41,6.783006822885795e-9,1.0802130236391876,1.699278187743201,1.9324816394493287,1.99999999999998
1M_gz,1,990830,jl,0.633678560988791,42,0.052521362802425475,1.1866623556023195,1.7474644658594864,1.942757046809572,1.999999999998383
1M_gz,1,990830,jl,0.633678560988791,43,0.28645579717726366,1.2856062885844672,1.7884842922635105,1.9517127264002858,1.999999999999925
1M_gz,1,990830,jl,0.633678560988791,44,0.5075570203162985,1.3786351503304521,1.8246454444335463,1.9593564929938798,1.999999999998248
1M_gz,1,990830,jl,0.633678560988791,45,0.7370259454865316,1.4749720684467267,1.8572499093683956,1.9669392814455284,1.9999999999992817
1M_gz,1,990830,jl,0.633678560988791,46,1.0043208337437457,1.5860216440019057,1.8869810528826243,1.9738221957628888,1.9999999999990878
1M_gz,1,990830,jl,0.633678560988791,47,1.2624232182120079,1.6928812643377782,1.9127807763427258,1.9798546288323662,1.9999999999996825
1M_gz,1,990830,jl,0.633678560988791,48,1.4757738471894029,1.7814651807262698,1.934960809709262,1.9852610955141874,1.9999999999996314
1M_gz,1,990830,jl,0.633678560988791,49,1.6516143203607738,1.854501665414611,1.9534717740771,1.9897599594987412,1.9999999999999383
1M_gz,1,990830,jl,0.633678560988791,50,1.777505713393741,1.9067725723838507,1.9675737847703831,1.9929585320317607,1.9999999999999996
210129_raw_BALPBMC,1,523041,py,0.49439028876553914,1,0.0,0.0005304921527902184,0.003152081402496565,0.013104737624869911,0.031965573898607214
210129_raw_BALPBMC,1,523041,py,0.49439028876553914,2,6.317169010117141e-14,0.001628887016443925,0.008397056065998554,0.03589912504770115,0.08730426083796416
210129_raw_BALPBMC,1,523041,py,0.49439028876553914,3,9.170442183403793e-14,0.0025014848122749955,0.01210145732431156,0.06048328005549744,0.1474543077032905
210129_raw_BALPBMC,1,523041,py,0.49439028876553914,4,2.220446049250313e-16,0.0037088339890373467,0.016737997217199763,0.0988528201393814,0.24156682146044672
210129_raw_BALPBMC,1,523041,py,0.49439028876553914,5,7.538414337204813e-13,0.005450902262033458,0.024097927556545773,0.18519953057778116,0.4548203439367643
210129_raw_BALPBMC,1,523041,py,0.49439028876553914,6,3.559375016948252e-13,0.008083235790251025,0.03650285853934726,0.36854562783618594,0.9092372300621967
210129_raw_BALPBMC,1,523041,py,0.49439028876553914,7,1.952549233408263e-12,0.011602205834595453,0.059564111827557664,0.6613746383938881,1.636031439735934
210129_raw_BALPBMC,1,523041,py,0.49439028876553914,8,3.006928039894774e-12,0.016893925985072028,0.1394806487425494,0.8790787321517027,1.9999999999951161
210129_raw_BALPBMC,1,523041,py,0.49439028876553914,9,2.4424906541753444e-15,0.02482144966414021,0.3131555230885163,1.0107865139644043,1.9999999998122329
210129_raw_BALPBMC,1,523041,py,0.49439028876553914,10,7.771561172376096e-16,0.03677665231714211,0.5001858765308667,1.106962094430907,1.9999999998787048
