dataset,it,size,implementation,step,t,clusters
subsample_it_1_size_125000,1,125000,jl_opt,RunUMAP,238.93198365,25
subsample_it_1_size_125000,1,125000,jl_opt,FindAllMarkers,52.983124649,25
subsample_it_1_size_25000,1,25000,R,CreateSeuratObject,8.451348187,20
subsample_it_1_size_25000,1,25000,R,NormalizeData,3.323621923,20
subsample_it_1_size_25000,1,25000,R,FindVariableFeatures,10.204469405,20
subsample_it_1_size_25000,1,25000,R,ScaleData,2.851695889,20
subsample_it_1_size_25000,1,25000,R,RunPCA,27.114008316,20
subsample_it_1_size_25000,1,25000,R,FindNeighbors,6.712870097,20
subsample_it_1_size_25000,1,25000,R,FindClusters,5.20513558,20
subsample_it_1_size_25000,1,25000,R,RunUMAP,46.511288081,20
subsample_it_1_size_25000,1,25000,R,FindAllMarkers,760.341548659,20
subsample_it_1_size_25000,1,25000,jl,CreateSeuratObject,1.426877743,20
subsample_it_1_size_25000,1,25000,jl,NormalizeData,1.733953528,20
subsample_it_1_size_25000,1,25000,jl,FindVariableFeatures,0.884604776,20
subsample_it_1_size_25000,1,25000,jl,ScaleData,0.093022422,20
subsample_it_1_size_25000,1,25000,jl,RunPCA,20.45459596,20
subsample_it_1_size_25000,1,25000,jl,FindNeighbors,1.043210069,20
subsample_it_1_size_25000,1,25000,jl,FindClusters,4.824643732,20
subsample_it_1_size_25000,1,25000,jl,RunUMAP,66.550612217,20
subsample_it_1_size_25000,1,25000,jl,FindAllMarkers,30.406938007,20
subsample_it_1_size_25000,1,25000,jl32,CreateSeuratObject,3.063513347,21
subsample_it_1_size_25000,1,25000,jl32,NormalizeData,1.15719272,21
subsample_it_1_size_25000,1,25000,jl32,FindVariableFeatures,0.944591734,21
subsample_it_1_size_25000,1,25000,jl32,ScaleData,0.072962091,21
subsample_it_1_size_25000,1,25000,jl32,RunPCA,10.371841155,21
subsample_it_1_size_25000,1,25000,jl32,FindNeighbors,0.763295479,21
subsample_it_1_size_25000,1,25000,jl32,FindClusters,5.409941289,21
subsample_it_1_size_25000,1,25000,jl32,RunUMAP,62.374959881,21
subsample_it_1_size_25000,1,25000,jl32,FindAllMarkers,32.177783667,21
subsample_it_1_size_25000,1,25000,py,CreateSeuratObject,1.707058283,14
subsample_it_1_size_25000,1,25000,py,NormalizeData,1.226087791,14
subsample_it_1_size_25000,1,25000,py,FindVariableFeatures,4.989740744,14
subsample_it_1_size_25000,1,25000,py,ScaleData,0.648709718,14
subsample_it_1_size_25000,1,25000,py,RunPCA,6.359781064,14
subsample_it_1_size_25000,1,25000,py,FindNeighbors,4.386329927,14
subsample_it_1_size_25000,1,25000,py,FindClusters,2.656912137,14
subsample_it_1_size_25000,1,25000,py,RunUMAP,74.463441953,14
subsample_it_1_size_25000,1,25000,py,FindAllMarkers,383.36317891,14
subsample_it_1_size_25000,1,25000,jl32_opt,CreateSeuratObject,2.631453569,20
subsample_it_1_size_25000,1,25000,jl32_opt,NormalizeData,1.219311657,20
subsample_it_1_size_25000,1,25000,jl32_opt,FindVariableFeatures,0.763901732,20
subsample_it_1_size_25000,1,25000,jl32_opt,ScaleData,0.126000399,20
