dataset,it,size,implementation,step,t,clusters
subsample_it_1_size_125000,1,125000,jl,CreateSeuratObject,10.11165591,24
subsample_it_1_size_125000,1,125000,jl,NormalizeData,6.960951272,24
subsample_it_1_size_125000,1,125000,jl,FindVariableFeatures,3.792649007,24
subsample_it_1_size_125000,1,125000,jl,ScaleData,1.022389093,24
subsample_it_1_size_125000,1,125000,jl,RunPCA,137.306297261,24
subsample_it_1_size_125000,1,125000,jl,FindNeighbors,6.464244217,24
subsample_it_1_size_125000,1,125000,jl,FindClusters,67.353910792,24
subsample_it_1_size_125000,1,125000,jl,RunUMAP,348.017665207,24
subsample_it_1_size_125000,1,125000,jl,FindAllMarkers,149.630176276,24
subsample_it_1_size_125000,1,125000,jl32,CreateSeuratObject,10.214306458,24
subsample_it_1_size_125000,1,125000,jl32,NormalizeData,6.027766062,24
subsample_it_1_size_125000,1,125000,jl32,FindVariableFeatures,3.675343254,24
subsample_it_1_size_125000,1,125000,jl32,ScaleData,0.985288169,24
subsample_it_1_size_125000,1,125000,jl32,RunPCA,61.444751669,24
subsample_it_1_size_125000,1,125000,jl32,FindNeighbors,4.635553354,24
subsample_it_1_size_125000,1,125000,jl32,FindClusters,65.193251633,24
subsample_it_1_size_125000,1,125000,jl32,RunUMAP,319.817734527,24
subsample_it_1_size_125000,1,125000,jl32,FindAllMarkers,148.751627946,24
subsample_it_1_size_125000,1,125000,py,CreateSeuratObject,8.754228295,20
subsample_it_1_size_125000,1,125000,py,NormalizeData,6.257293278,20
subsample_it_1_size_125000,1,125000,py,FindVariableFeatures,25.315703751,20
subsample_it_1_size_125000,1,125000,py,ScaleData,3.532779616,20
subsample_it_1_size_125000,1,125000,py,RunPCA,35.419464693,20
subsample_it_1_size_125000,1,125000,py,FindNeighbors,19.146193625,20
subsample_it_1_size_125000,1,125000,py,FindClusters,43.474884096,20
subsample_it_1_size_125000,1,125000,py,RunUMAP,396.785763017,20
subsample_it_1_size_125000,1,125000,py,FindAllMarkers,2647.369987034,20
subsample_it_1_size_125000,1,125000,jl32_opt,CreateSeuratObject,10.025773459,26
subsample_it_1_size_125000,1,125000,jl32_opt,NormalizeData,5.757964185,26
subsample_it_1_size_125000,1,125000,jl32_opt,FindVariableFeatures,3.67766774,26
subsample_it_1_size_125000,1,125000,jl32_opt,ScaleData,0.933606928,26
subsample_it_1_size_125000,1,125000,jl32_opt,RunPCA,17.133922793,26
subsample_it_1_size_125000,1,125000,jl32_opt,FindNeighbors,5.427162637,26
subsample_it_1_size_125000,1,125000,jl32_opt,FindClusters,68.046704271,26
subsample_it_1_size_125000,1,125000,jl32_opt,RunUMAP,225.885755344,26
subsample_it_1_size_125000,1,125000,jl32_opt,FindAllMarkers,58.618615801,26
subsample_it_1_size_125000,1,125000,jl_opt,CreateSeuratObject,10.352010946,26
subsample_it_1_size_125000,1,125000,jl_opt,NormalizeData,6.950457201,26
