dataset,it,size,implementation,ari,ri,jaccard
subsample_it_5_size_25000,5,25000,jl,0.8969566795474899,0.9773086462637863,0.9890601690701144
subsample_it_5_size_25000,5,25000,jl32,0.8835258961800522,0.9745462611465268,0.9890601690701144
subsample_it_5_size_25000,5,25000,py,0.659905007382924,0.9237133850253986,1.0
subsample_it_5_size_250000,5,250000,jl,0.6841975164471316,0.9476857964451277,0.9930244145490782
subsample_it_5_size_250000,5,250000,jl32,0.7631535694619728,0.9568943583305133,0.9930244145490782
subsample_it_5_size_250000,5,250000,py,0.7568506475309678,0.9564884440149755,1.0
subsample_it_5_size_3000,5,3000,jl,0.96803412101597,0.9918377914712643,0.9960079840319361
subsample_it_5_size_3000,5,3000,jl32,0.9869453820936449,0.9966325880464418,0.9960079840319361
subsample_it_5_size_3000,5,3000,py,0.611746111791382,0.8936893389678253,1.0
subsample_it_5_size_50000,5,50000,jl,0.8107322080718348,0.9702799892914465,0.9860973187686196
subsample_it_5_size_50000,5,50000,jl32,0.7509031475996887,0.9583334092432036,0.9860973187686196
subsample_it_5_size_50000,5,50000,py,0.6166980143237626,0.9315147157578525,1.0
subsample_it_5_size_500000,5,500000,jl,0.7090027359345775,0.955684694679566,0.9910403185664509
subsample_it_5_size_500000,5,500000,jl32,0.7687010021356258,0.9672460100227246,0.9910403185664509
subsample_it_5_size_500000,5,500000,py,0.6775690681227592,0.9450382253904788,1.0
subsample_it_5_size_6000,5,6000,jl,0.9550292085244423,0.9903527285742465,0.9940179461615155
subsample_it_5_size_6000,5,6000,jl32,0.9580080074597143,0.9910196050332692,0.9940179461615155
subsample_it_5_size_6000,5,6000,py,0.638819451496939,0.9117828248591802,1.0
subsample_it_5_size_75000,5,75000,jl,0.7790858872215659,0.9645757512826845,0.9870839542970691
subsample_it_5_size_75000,5,75000,jl32,0.7808250998610502,0.963976149354434,0.9870839542970691
subsample_it_5_size_75000,5,75000,py,0.5900421367257064,0.9216501432536619,1.0
subsample_it_5_size_750000,5,750000,jl,0.779703602562539,0.9643457035798174,0.9900497512437811
subsample_it_5_size_750000,5,750000,jl32,0.7343354457869709,0.9625474376293708,0.9900497512437811
subsample_it_5_size_750000,5,750000,py,0.6441899698664627,0.9361128250608591,1.0
